batch,n_samples,phase,power_avg_w,power_max_w,power_p50_w,seq_len,sm_clk_avg,sm_clk_max,sm_clk_min,temp_avg,throughput_tok_s,util_gpu_avg,util_mem_avg,window_s
8,150,prefill,100.57049333333325,108.164,107.945,4,2800.733333333333,2812,2797,61.92666666666667,2513.693528564908,88.42,58.0,3.0043439720002425
8,150,prefill,113.36304000000015,122.391,121.8665,8,2792.786666666667,2812,2790,63.16,4916.821316643861,68.21333333333334,44.92,3.006820677000178
8,149,prefill,130.86887919463084,143.286,143.04,16,2748.6375838926174,2820,2730,65.95973154362416,8216.995882808922,92.0,53.33557046979866,3.006451549000303
8,150,prefill,135.07906666666685,145.245,144.446,32,2702.1133333333332,2805,2677,68.00666666666666,9951.966272593841,62.666666666666664,25.333333333333332,3.0096565020003254
8,149,prefill,134.67339597315427,145.118,144.531,48,2669.818791946309,2775,2647,69.66442953020135,10867.206635323688,96.10738255033557,31.892617449664428,3.0035317350002515
8,150,prefill,134.79221333333336,146.689,144.926,64,2653.9333333333334,2715,2632,70.18,11254.902212344272,97.0,29.426666666666666,3.0024250200003735
8,151,prefill,135.09629139072865,145.913,144.948,96,2651.437086092715,2737,2625,69.87417218543047,11648.92604002862,80.19867549668874,22.271523178807946,3.032725924999795
8,150,prefill,134.87388666666638,145.496,144.984,128,2652.9466666666667,2782,2625,69.99333333333334,11819.533771797302,98.0,27.326666666666668,3.0322685049995926
8,155,prefill,134.44157419354835,145.248,144.98,192,2667.303225806452,2820,2632,69.83225806451613,11805.314043048917,68.34193548387097,17.625806451612902,3.122661529000652
8,154,prefill,134.35741558441546,145.136,144.964,256,2662.616883116883,2812,2632,70.4090909090909,11959.70475308056,99.2012987012987,25.7987012987013,3.082350339000186
8,157,prefill,134.83471337579616,145.101,144.903,384,2671.5286624203823,2805,2647,70.31847133757962,11666.372739838069,69.43312101910828,19.229299363057326,3.1598510369994983
8,160,prefill,135.91270624999987,145.35,144.836,512,2669.80625,2737,2647,71.14375,11447.098210659948,100.0,27.8875,3.2203794639999614
8,163,prefill,135.72503680981606,145.131,144.879,768,2647.4601226993864,2767,2617,71.34355828220859,11195.47985465217,99.69325153374233,34.306748466257666,3.2927574769992134
8,184,prefill,135.63674456521767,146.265,144.916,1024,2650.9239130434785,2820,2617,69.91304347826087,11053.83166011666,100.0,36.54347826086956,3.7055024230003255
8,168,prefill,136.5235476190475,145.947,144.797,1536,2640.3035714285716,2707,2617,71.00595238095238,10918.795360054171,100.0,35.79761904761905,3.376196620999508
8,151,prefill,133.76798013244994,145.439,144.852,2048,2671.973509933775,2805,2632,70.04635761589404,10838.776523482507,66.88741721854305,23.735099337748345,3.023219450000397
8,231,prefill,138.32031601731546,145.675,144.938,3072,2658.9523809523807,2730,2640,71.5108225108225,10573.844330251186,100.0,34.28138528138528,4.648451260000002
