t_s,temp_c,sm_clk_mhz,power_w,util_pct,throttle_thermal,throttle_powercap,reasons_raw
21.703,82,135,55.2,0,0,0,1
21.763,82,135,55.2,0,0,0,1
21.824,82,135,55.2,0,0,0,1
21.884,82,135,55.2,0,0,0,1
21.944,82,135,55.3,0,0,0,1
22.003,82,135,55.2,0,0,0,1
22.066,82,135,55.2,0,0,0,1
22.125,82,135,55.2,0,0,0,1
22.184,82,135,55.3,0,0,0,1
22.246,82,135,55.2,0,0,0,1
22.306,82,135,55.2,0,0,0,1
22.368,82,135,55.2,0,0,0,1
22.426,82,135,55.2,0,0,0,1
22.487,82,135,55.2,0,0,0,1
22.55,82,135,55.3,0,0,0,1
22.606,82,135,55.2,0,0,0,1
22.668,82,135,55.3,0,0,0,1
22.728,82,135,55.2,0,0,0,1
22.788,82,135,55.3,0,0,0,1
22.849,82,135,55.2,0,0,0,1
22.914,82,135,55.2,0,0,0,1
22.97,82,135,55.1,0,0,0,1
23.032,82,135,55.2,0,0,0,1
23.091,82,135,55.2,0,0,0,1
23.151,82,135,55.2,0,0,0,1
23.208,82,135,55.2,0,0,0,1
23.272,82,135,55.2,0,0,0,1
23.331,82,135,55.3,0,0,0,1
23.392,82,135,55.2,0,0,0,1
23.452,82,135,55.2,0,0,0,1
23.512,82,135,55.2,0,0,0,1
23.574,82,135,55.2,0,0,0,1
23.636,82,135,55.2,0,0,0,1
23.692,82,135,55.2,0,0,0,1
23.753,82,135,55.2,0,0,0,1
23.814,82,135,55.3,0,0,0,1
23.877,82,135,55.3,0,0,0,1
23.933,82,135,55.2,0,0,0,1
23.994,82,135,55.2,0,0,0,1
24.055,82,135,55.3,0,0,0,1
24.115,82,135,55.2,0,0,0,1
24.175,82,135,55.2,0,0,0,1
24.236,82,135,55.3,0,0,0,1
24.298,82,135,55.2,0,0,0,1
24.355,82,135,55.3,0,0,0,1
24.416,82,135,55.2,0,0,0,1
24.476,82,135,55.2,0,0,0,1
24.537,82,135,55.2,0,0,0,1
24.598,82,135,55.2,0,0,0,1
24.658,82,135,55.2,0,0,0,1
24.718,82,135,55.2,0,0,0,1
24.778,82,135,55.3,0,0,0,1
24.841,82,135,55.2,0,0,0,1
24.9,82,135,55.2,0,0,0,1
24.958,82,135,55.2,0,0,0,1
25.02,82,135,55.2,0,0,0,1
25.08,82,135,55.3,0,0,0,1
25.14,82,135,55.3,0,0,0,1
25.199,82,135,55.1,0,0,0,1
25.26,82,135,55.2,0,0,0,1
25.322,82,135,55.2,0,0,0,1
25.382,82,135,55.2,0,0,0,1
25.444,82,135,55.4,0,0,0,1
25.589,82,135,55.3,0,0,0,1
25.687,82,135,55.2,0,0,0,1
25.745,82,135,55.3,0,0,0,1
